Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
TX0000000086,Brazil,3788729.495,Offshore Transfer,1/4/2013 13:00,Person_69,Casinos,Switzerland,FALSE,Legal,9,6,Bank_462,Panama
TX0000000087,Switzerland,3558410.521,Offshore Transfer,1/4/2013 14:00,Person_7486,Casinos,UK,FALSE,Illegal,10,1,Bank_183,Cayman Islands
TX0000000088,South Africa,3808337.894,Stocks Transfer,1/4/2013 15:00,Person_4296,Oil & Gas,Brazil,FALSE,Illegal,9,6,Bank_404,Singapore
TX0000000089,India,2599743.924,Stocks Transfer,1/4/2013 16:00,Person_2439,Luxury Goods,Russia,FALSE,Legal,2,1,Bank_380,Singapore
TX0000000090,USA,2801902.691,Property Purchase,1/4/2013 17:00,Person_173,Construction,USA,FALSE,Illegal,6,7,Bank_195,Bahamas
TX0000000091,India,626582.515,Property Purchase,1/4/2013 18:00,Person_2660,Casinos,Singapore,FALSE,Legal,7,9,Bank_43,Panama
TX0000000092,Russia,4173901.17,Cryptocurrency,1/4/2013 19:00,Person_9354,Luxury Goods,Switzerland,FALSE,Illegal,9,0,Bank_87,Luxembourg
,India,2636848.582,Offshore Transfer,1/4/2013 20:00,Person_7169,Finance,UAE,TRUE,Illegal,3,9,Bank_262,Cayman Islands
TX0000000094,Brazil,2585900.064,,1/4/2013 21:00,Person_9009,Oil & Gas,India,FALSE,Illegal,10,8,Bank_283,Switzerland
TX0000000095,Russia,305379.7166,Offshore Transfer,1/4/2013 22:00,Person_9788,Oil & Gas,Russia,FALSE,Legal,3,2,Bank_352,Luxembourg
TX0000000096,USA,1890855.184,Cash Withdrawal,1/4/2013 23:00,Person_5611,Real Estate,Switzerland,FALSE,Illegal,6,5,Bank_272,Panama
TX0000000097,Russia,2212450.542,Cryptocurrency,1/5/2013 0:00,Person_4479,Luxury Goods,Switzerland,FALSE,Illegal,10,0,Bank_395,Cayman Islands
TX0000000098,Switzerland,2647815.212,Stocks Transfer,1/5/2013 1:00,Person_4435,Construction,India,FALSE,Legal,4,3,Bank_439,Switzerland
TX0000000099,China,3892983.766,Offshore Transfer,1/5/2013 2:00,,Finance,India,TRUE,Illegal,4,3,Bank_493,Cayman Islands
TX0000000100,India,1160839.807,Cryptocurrency,1/5/2013 3:00,Person_2291,Finance,India,FALSE,Illegal,6,7,Bank_288,Switzerland
TX0000000101,Russia,3987347.955,Stocks Transfer,1/5/2013 4:00,Person_2910,Arms Trade,South Africa,FALSE,Illegal,8,7,Bank_339,Luxembourg
TX0000000102,UK,3530304.214,Offshore Transfer,1/5/2013 5:00,Person_4769,Luxury Goods,USA,FALSE,Legal,2,9,Bank_24,Switzerland
TX0000000103,India,3736809.909,Cash Withdrawal,1/5/2013 6:00,Person_4542,Arms Trade,UAE,FALSE,Illegal,5,1,Bank_285,Switzerland
TX0000000104,China,2217803.597,Cash Withdrawal,1/5/2013 7:00,Person_3226,Casinos,India,FALSE,Illegal,8,1,Bank_378,Bahamas
TX0000000105,Russia,316641.4875,Cash Withdrawal,1/5/2013 8:00,Person_4798,Construction,India,FALSE,Illegal,8,3,Bank_120,Luxembourg
TX0000000106,Russia,979848.7292,Stocks Transfer,1/5/2013 9:00,Person_4977,Oil & Gas,Russia,TRUE,Illegal,8,9,Bank_35,Switzerland
TX0000000107,China,4335717.148,Cryptocurrency,1/5/2013 10:00,Person_9717,Casinos,South Africa,TRUE,Illegal,6,2,Bank_411,Panama
TX0000000108,China,3944972.154,Offshore Transfer,1/5/2013 11:00,Person_5533,Construction,UK,FALSE,Legal,8,9,Bank_165,Panama
TX0000000109,South Africa,869588.7031,Stocks Transfer,1/5/2013 12:00,Person_661,Luxury Goods,USA,FALSE,Illegal,6,5,Bank_138,Panama
TX0000000110,Brazil,4904774.25,Property Purchase,1/5/2013 13:00,Person_4795,Real Estate,South Africa,TRUE,Illegal,7,9,Bank_160,Luxembourg
TX0000000111,China,2888191.415,Stocks Transfer,1/5/2013 14:00,Person_3072,Arms Trade,Russia,FALSE,Legal,6,8,Bank_490,Luxembourg
,UAE,3599502.603,Offshore Transfer,1/5/2013 15:00,Person_2911,Construction,Singapore,TRUE,Legal,2,9,Bank_60,Luxembourg
TX0000000113,Brazil,2488024.314,Offshore Transfer,1/5/2013 16:00,Person_2000,Construction,Switzerland,FALSE,Illegal,10,1,Bank_409,Switzerland
TX0000000114,Switzerland,4546033.568,Property Purchase,1/5/2013 17:00,Person_4923,Arms Trade,India,FALSE,Illegal,10,8,Bank_401,Luxembourg
TX0000000115,South Africa,511746.8288,Property Purchase,1/5/2013 18:00,,Construction,South Africa,FALSE,Illegal,5,5,Bank_173,Luxembourg
TX0000000116,India,4706996.877,Cash Withdrawal,1/5/2013 19:00,Person_1230,Finance,UK,TRUE,Legal,9,8,Bank_264,Switzerland
TX0000000117,China,4408358.741,Offshore Transfer,1/5/2013 20:00,Person_5656,Finance,USA,FALSE,Illegal,8,2,Bank_213,Singapore
TX0000000118,Singapore,640092.1328,Offshore Transfer,1/5/2013 21:00,Person_9769,Real Estate,USA,FALSE,Legal,2,1,Bank_422,Bahamas
TX0000000119,Switzerland,2173854.249,Stocks Transfer,1/5/2013 22:00,Person_5905,Arms Trade,Brazil,FALSE,Illegal,5,6,Bank_258,Bahamas
,China,1701022.342,Cryptocurrency,1/5/2013 23:00,Person_8383,Real Estate,USA,FALSE,Legal,1,6,Bank_356,Singapore
TX0000000121,Switzerland,2938291.207,Property Purchase,1/6/2013 0:00,Person_1145,Finance,Switzerland,FALSE,Illegal,8,3,Bank_467,Luxembourg
TX0000000122,UAE,89483.03193,Cash Withdrawal,1/6/2013 1:00,Person_5295,Luxury Goods,UK,FALSE,Illegal,10,4,Bank_100,Switzerland
TX0000000123,USA,0,Property Purchase,1/6/2013 2:00,Person_7378,Real Estate,USA,TRUE,Illegal,1,7,Bank_459,Singapore
TX0000000124,UAE,2837646.998,Stocks Transfer,1/6/2013 3:00,Person_7432,Construction,,FALSE,Illegal,4,9,Bank_216,Switzerland
TX0000000125,USA,3336075.849,Property Purchase,1/6/2013 4:00,Person_8881,Finance,India,FALSE,Legal,7,0,Bank_80,Bahamas
TX0000000126,UK,2180248.902,Stocks Transfer,1/6/2013 5:00,Person_8385,Real Estate,Singapore,TRUE,Illegal,10,7,Bank_234,Luxembourg
TX0000000127,Switzerland,2759018.437,Cash Withdrawal,1/6/2013 6:00,Person_239,Oil & Gas,Brazil,FALSE,Illegal,9,0,Bank_26,Switzerland
TX0000000128,China,313188.649,Offshore Transfer,1/6/2013 7:00,Person_2175,Finance,Russia,FALSE,Illegal,9,4,Bank_74,Bahamas
TX0000000129,India,2476294.5,Property Purchase,,Person_3364,Real Estate,USA,FALSE,Illegal,4,9,Bank_124,Cayman Islands
TX0000000130,Russia,3402633.435,Property Purchase,1/6/2013 9:00,Person_5865,Luxury Goods,Singapore,FALSE,Legal,1,5,Bank_232,Panama
TX0000000131,Singapore,3382689.344,Property Purchase,1/6/2013 10:00,Person_5801,Construction,Russia,TRUE,Illegal,5,1,Bank_95,Panama
TX0000000132,Singapore,3048535.346,Property Purchase,1/6/2013 11:00,Person_206,Arms Trade,USA,FALSE,Illegal,3,4,Bank_495,Bahamas
TX0000000133,South Africa,2267348.555,Offshore Transfer,1/6/2013 12:00,Person_3663,Finance,China,FALSE,Illegal,5,6,Bank_391,Panama
TX0000000134,Singapore,1119119.03,Property Purchase,1/6/2013 13:00,Person_3060,Construction,UAE,FALSE,Illegal,2,9,Bank_442,Cayman Islands
TX0000000135,UAE,3446563.682,Cryptocurrency,1/6/2013 14:00,Person_1053,Construction,China,FALSE,Illegal,5,5,Bank_285,Luxembourg
TX0000000136,China,3277808.907,Offshore Transfer,1/6/2013 15:00,Person_803,Casinos,China,TRUE,Illegal,6,0,Bank_45,Singapore
TX0000000137,China,2106374.664,Stocks Transfer,1/6/2013 16:00,Person_1488,Finance,UK,FALSE,Legal,6,6,Bank_242,Switzerland
TX0000000138,China,870563.3884,Stocks Transfer,1/6/2013 17:00,Person_5997,Construction,USA,FALSE,Legal,8,0,Bank_148,Luxembourg
TX0000000139,Singapore,4101265.114,Cash Withdrawal,1/6/2013 18:00,Person_7018,Luxury Goods,UAE,FALSE,Illegal,5,6,Bank_147,Luxembourg
TX0000000140,UAE,359089.2327,Offshore Transfer,1/6/2013 19:00,Person_4929,Oil & Gas,Switzerland,TRUE,Illegal,6,6,Bank_126,Singapore
,Russia,4887537.298,Property Purchase,1/6/2013 20:00,Person_9163,Casinos,Russia,FALSE,Legal,8,1,Bank_101,Cayman Islands
TX0000000142,UAE,2773974.414,Stocks Transfer,1/6/2013 21:00,Person_4942,Real Estate,Brazil,FALSE,Illegal,1,0,Bank_244,Panama
TX0000000143,Russia,1314593.506,Stocks Transfer,1/6/2013 22:00,Person_2712,Real Estate,UK,FALSE,Illegal,9,4,Bank_244,Switzerland
TX0000000144,South Africa,1109089.707,Cash Withdrawal,1/6/2013 23:00,Person_6013,Finance,UK,FALSE,Legal,1,8,Bank_116,Switzerland
TX0000000145,South Africa,946205.8534,Cash Withdrawal,1/7/2013 0:00,Person_5803,Casinos,UK,FALSE,Illegal,4,8,Bank_57,Panama
TX0000000146,India,4231632.383,Cash Withdrawal,1/7/2013 1:00,Person_4283,Finance,UAE,FALSE,,6,2,Bank_123,Luxembourg
TX0000000147,India,1794369.601,Cash Withdrawal,1/7/2013 2:00,Person_3803,Construction,Switzerland,FALSE,Illegal,5,1,Bank_276,Bahamas
TX0000000148,India,2848046.767,Cash Withdrawal,1/7/2013 3:00,Person_5397,Finance,India,FALSE,Illegal,6,9,Bank_13,Singapore
TX0000000149,UK,177312.493,Cryptocurrency,1/7/2013 4:00,Person_9023,Construction,Singapore,FALSE,Illegal,7,0,Bank_82,Luxembourg
TX0000000150,USA,413299.8005,Cash Withdrawal,1/7/2013 5:00,Person_4019,Real Estate,Singapore,FALSE,Legal,3,3,Bank_36,Singapore
TX0000000151,UK,1014299.28,Cryptocurrency,1/7/2013 6:00,Person_555,Casinos,India,FALSE,Illegal,7,1,Bank_417,Singapore
TX0000000152,UAE,3868014.291,Cash Withdrawal,1/7/2013 7:00,Person_9297,Construction,Singapore,FALSE,Legal,5,2,Bank_50,Panama
TX0000000153,South Africa,,Property Purchase,1/7/2013 8:00,Person_3690,Real Estate,Singapore,FALSE,Illegal,10,6,Bank_10,Singapore
TX0000000154,China,3257364.857,Property Purchase,1/7/2013 9:00,Person_1354,Real Estate,Brazil,FALSE,Legal,7,1,Bank_297,Cayman Islands
TX0000000155,China,4870071.131,Stocks Transfer,1/7/2013 10:00,Person_2600,Finance,South Africa,FALSE,Illegal,10,3,Bank_80,Singapore
TX0000000156,Russia,3678440.98,,1/7/2013 11:00,Person_226,Luxury Goods,Singapore,FALSE,Illegal,9,1,Bank_402,Cayman Islands
TX0000000157,Switzerland,4629993.505,,1/7/2013 12:00,Person_6505,Real Estate,USA,FALSE,Illegal,8,1,Bank_298,Cayman Islands
TX0000000158,Switzerland,4390545.994,Cash Withdrawal,1/7/2013 13:00,Person_3320,Arms Trade,India,FALSE,Legal,9,6,Bank_427,Panama
TX0000000159,USA,317657.8489,Stocks Transfer,1/7/2013 14:00,Person_2341,Real Estate,USA,FALSE,Illegal,9,9,Bank_252,Switzerland
TX0000000160,China,3202900.8,Property Purchase,1/7/2013 15:00,Person_5022,Arms Trade,USA,TRUE,Illegal,6,5,Bank_496,Switzerland
TX0000000161,Russia,3494363.163,Property Purchase,1/7/2013 16:00,Person_3531,Luxury Goods,UAE,FALSE,Legal,9,9,Bank_88,Bahamas
TX0000000162,Russia,246106.2521,Cash Withdrawal,1/7/2013 17:00,Person_2686,Real Estate,South Africa,FALSE,Illegal,4,3,Bank_323,Cayman Islands
TX0000000163,Switzerland,1658946.437,Property Purchase,1/7/2013 18:00,Person_3815,Finance,UK,TRUE,Illegal,1,3,Bank_365,Cayman Islands
TX0000000164,UK,1202908.982,Offshore Transfer,1/7/2013 19:00,Person_881,Oil & Gas,USA,TRUE,Illegal,5,7,Bank_216,Singapore
TX0000000165,China,2658981.301,Property Purchase,1/7/2013 20:00,Person_2334,Real Estate,Brazil,FALSE,Legal,2,3,Bank_290,Bahamas
TX0000000166,Singapore,1799638.527,Offshore Transfer,1/7/2013 21:00,Person_6948,Oil & Gas,USA,FALSE,Illegal,5,0,Bank_22,Luxembourg
TX0000000167,Switzerland,4502528.458,Cryptocurrency,1/7/2013 22:00,Person_736,Oil & Gas,South Africa,FALSE,Illegal,9,0,Bank_247,Panama
TX0000000168,Switzerland,2946942.875,Cryptocurrency,1/7/2013 23:00,Person_7565,Arms Trade,South Africa,FALSE,Legal,10,6,Bank_67,Luxembourg
TX0000000169,South Africa,4479438.468,Cash Withdrawal,1/8/2013 0:00,Person_4324,Oil & Gas,Russia,FALSE,Illegal,6,0,Bank_339,Cayman Islands
TX0000000170,India,3014579.446,Stocks Transfer,1/8/2013 1:00,Person_8641,Luxury Goods,Brazil,FALSE,Illegal,6,9,Bank_466,Luxembourg
TX0000000171,China,0,Cash Withdrawal,1/8/2013 2:00,Person_2480,Finance,UK,FALSE,Illegal,8,1,Bank_94,Switzerland
TX0000000172,UAE,1886919.006,Cryptocurrency,1/8/2013 3:00,Person_2642,Arms Trade,USA,FALSE,Legal,1,5,Bank_245,Luxembourg
TX0000000173,South Africa,1443373.641,Cash Withdrawal,1/8/2013 4:00,,Oil & Gas,Russia,FALSE,Illegal,4,9,Bank_23,Switzerland
TX0000000174,Singapore,3826209.266,Cryptocurrency,1/8/2013 5:00,Person_7224,Real Estate,UAE,FALSE,Legal,7,1,Bank_326,Switzerland
TX0000000175,South Africa,4488441.727,Offshore Transfer,1/8/2013 6:00,Person_9862,Oil & Gas,China,FALSE,Illegal,3,9,Bank_266,Luxembourg
TX0000000176,India,3911812.323,Offshore Transfer,1/8/2013 7:00,Person_6027,Arms Trade,UAE,FALSE,Illegal,10,4,Bank_429,Luxembourg
TX0000000177,UK,1132897.25,Cash Withdrawal,1/8/2013 8:00,Person_6,Oil & Gas,Switzerland,FALSE,Illegal,9,7,Bank_129,Bahamas
